id,type,prob_Ia
1365196014015015006,RRLyr,0.157
1544162851215010005,LPV*,0.311
1341410424915015001,EB*,0.498
1375225193715010010,QSO,0.266
1419334344815020002,TTau*,0.2
1526244695115015005,HotSubdwarf,0.38
1284361404815015004,RRLyr,0.445
1361323594815010003,EB*,0.663
1292491142515015000,RRLyr,0.349
1524423580015010003,QSO,0.589
1151185306015015015,Ia,0.715
1520341141415015005,EB*,0.684
1403245811715015002,RRLyr,0.356
1428212411615015000,RRLyr,0.21
1428174312215015002,RRLyr,0.195
1528524822015010069,RRLyr,0.215
1303411463215010009,RRLyr,0.201
1364225313615010034,RRLyr,0.267
1528512524815015004,QSO,0.409
1354267985015015008,C*,0.351
1287227603615015004,RRLyr,0.445
1358194722115010056,Star,0.538
1343414585315015004,YSO,0.74
1391499686215015024,EB*,0.209
1396214470515015017,Mira,0.47
1341289083815015009,LPV*,0.357
1390339274115010010,SNII,0.769
1428211460915010002,SNII,0.403
1387502846015015021,AGN,0.483
1306457984415010011,QSO,0.564
1417442702015010035,RRLyr,0.172
1306437226015015009,PulsV*,0.266
1290333005715015026,deltaCep,0.133
1425346841615010003,RRLyr,0.177
1291276961015010037,Star,0.665
1300442926115015002,EB*,0.524
1305308054915010019,PulsV*,0.355
1472122076315015013,SLSN-II,0.571
1399240276215010004,RRLyr,0.257
1537381552915010009,QSO,0.459
1361200626215010011,RRLyr,0.146
1295308940215010012,RRLyr,0.32
1547502656215015001,Mira,0.329
1397116572415010020,LPV*,0.655
1388511674115015011,QSO,0.473
1414204280515010062,Star,0.403
1339445531515010009,AGN,0.657
1525142196215010006,EB*,0.418
1060191593315010004,Ia,0.481
1361265473015015004,RRLyr,0.396
1395520261315015008,RRLyr,0.152
1424117836215010012,V*,0.271
1340355614515010003,C*,0.348
1300344085615010000,RRLyr,0.237
1341406115615010005,EB*betLyr,0.342
1375469004115015003,RRLyr,0.249
1278205574815015009,QSO,0.427
1343312295915010002,RRLyr,0.422
1365244543415010012,Mira,0.536
1302399382015010023,SNII,0.681
1337301531415015010,Ia,0.74
1414215024115010017,QSO,0.599
1403363791015010008,BLLac,0.672
1150297110415015003,Ia,0.54
1404380594615015010,EB*,0.135
1339339960715015005,LPV*,0.568
1151233195615015001,Ia,0.771
1403239895915010009,S*,0.523
1344295960815010004,RRLyr,0.501
1365256772515015000,RRLyr,0.403
1344353852815010015,Star,0.462
1303391863115015027,RRLyr,0.414
1364371924315010015,QSO,0.496
1520264645215015000,RRLyr,0.202
