id,type,prob_Ia
1341392602515010009,Star,0.257
1538443030815015008,Star,0.194
1307469144115010018,QSO,0.759
1306452772915015007,QSO,0.625
1344378912815015008,EB*,0.322
1298279940315015008,QSO,0.719
1291253715815010007,RRLyr,0.717
1284234835815015008,QSO,0.424
1279211555315015011,RRLyr,0.679
1395140782415010056,Star,0.427
1362307342815010000,QSO,0.373
1391129475115015004,RRLyr,0.701
1343295154415010007,EB*,0.276
1300432822015010007,AGN,0.806
1550224122215010001,RRLyr,0.715
1524233634915010001,Mira,0.713
1391392854015015009,YSO,0.822
1348422156115010028,EB*,0.585
1287260631615010000,RRLyr,0.403
1372401792315015006,EB*,0.19
1361350182415015002,RRLyr,0.42
1364358666215015005,Ia,0.814
1397117043715010003,Mira,0.486
1396396270615015007,LPV*,0.184
1360218403315010000,QSO,0.435
1400145460015015012,RRLyr,0.245
1365238425415010014,TTau*,0.724
1146153172115015012,Ia,0.915
1398383580415010042,EB*WUMa,0.29
1290465416215015030,Mira,0.118
1389178914715010021,Star,0.342
1536423405715010005,QSO,0.721
1360469735415010007,CataclyV*,0.281
1425373020315010004,EB*,0.659
1423390150315015027,EB*,0.753
1342315185215010012,RRLyr,0.191
1428098075615010007,Star,0.169
1344348244315010011,Em*,0.424
1343349902015010011,EB*,0.796
1336440372415010000,SNII,0.752
1380452813615015002,Star,0.411
1425425232615015007,Star,0.207
1425395254315010023,RRLyr,0.333
1423537065215010003,QSO,0.714
1478483561215015005,Ia,0.831
1296491084015015004,Star,0.326
1341195605815015014,RRLyr,0.582
1542240943115010006,RRLyr,0.641
1411152394215015014,RRLyr,0.266
1521421460915015003,RRLyr,0.676
1302266722815010000,QSO,0.303
1342354453015010002,RRLyr,0.329
1524189802115010027,C*,0.303
1361434340115010046,EB*WUMa,0.526
1305451714015010015,EB*,0.734
1401173414015010005,EB*,0.639
1160346684615010007,SNI,0.793
1382328331615015015,RRLyr,0.362
1299384806215010035,Star,0.254
1360348873915015007,Mira,0.198
