"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"150060","SN 2024gvc","12:51:12.712","+04:51:44.16","SN Ic","0.025036","","","ZTF, ATLAS, YSE, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; YSE; ZTF","ZTF24aakftxp","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P200 - DBSP","1","1","","19.7178","g-ZTF","2024-04-17 08:05:53.001","Fritz","","2024TNSTR1140....1S","2024TNSCR1286....1D",""
"150059","SN 2024gvb","16:52:31.670","+80:01:37.67","SN Ia","0.062","","","ZTF, Fink, ATLAS, GOTO, GaiaAlerts","ZTF, ATLAS, GOTO, GaiaAlerts","ZTF","ATLAS; Fink; GaiaAlerts; GOTO; ZTF","ZTF24aakfltk","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, GOTO-N - GOTO-2, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.526","r-ZTF","2024-04-19 06:17:15.002","Fritz","","2024TNSTR1140....1S","2024TNSCR1338....1F",""
"150026","SN 2024gtx","18:48:14.568","+58:51:35.92","SN Ia","0.082","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF24aakbptu","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.7421","r-ZTF","2024-04-18 08:47:18.997","Fritz","","2024TNSTR1123....1S","2024TNSCR1179....1F",""
"150023","SN 2024gtu","17:08:36.429","+45:15:49.56","SN Ia","0.073","","","ZTF, ATLAS, Pan-STARRS, Fink","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Fink; Pan-STARRS; ZTF","ZTF24aakdmwg","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","20.8982","r-ZTF","2024-04-14 10:55:26.999","Fritz","","2024TNSTR1123....1S","2024TNSCR1268....1F",""
"150011","SN 2024gti","11:45:45.004","-04:15:08.49","SN Ia","0.074","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF24aajydvw","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","19.0617","g-ZTF","2024-04-18 05:34:03.996","Fritz","","2024TNSTR1123....1S","2024TNSCR1284....1F",""
"150004","SN 2024gtb","09:54:02.300","+72:09:30.49","SN Ia","0.048","","","ZTF","ZTF","ZTF","ZTF","ZTF22abxacvm","P48 - ZTF-Cam","P200 - DBSP","1","1","","19.1763","g-ZTF","2024-04-13 07:22:14.001","Fritz","","2024TNSTR1121....1S","2024TNSCR1449....1J",""
"149982","SN 2024gsh","23:40:03.515","+27:10:02.57","SN Ia","0.03","","","ZTF","ZTF","ZTF","ZTF","ZTF24aajxsbr","P48 - ZTF-Cam","P200 - DBSP","1","1","","17.6135","r-ZTF","2024-04-16 12:13:36.998","Fritz","","2024TNSTR1101....1S","2024TNSCR1451....1Q",""
"149961","SN 2024grp","10:13:17.067","-02:31:52.47","SN Ia","0.044","","","ZTF, Pan-STARRS","ZTF, Pan-STARRS","ZTF","Pan-STARRS; ZTF","ZTF22aahgxbx","P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","17.5972","g-ZTF","2024-04-13 06:27:21.997","Fritz","","2024TNSTR1101....1S","2024TNSCR1125....1F",""
"149957","SN 2024grl","11:08:17.447","-07:13:49.29","SN Ia","0.0475","","","ZTF, ATLAS, BlackGEM","ZTF, ATLAS, BlackGEM","ZTF","ATLAS; BlackGEM; ZTF","ZTF24aajvldc","ATLAS-STH - ATLAS-03, BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam, P48 - ZTF-Cam","P200 - DBSP","1","1","","19.0989","r-ZTF","2024-04-16 05:30:16.004","Fritz","","2024TNSTR1101....1S","2024TNSCR1451....1Q",""
"149940","SN 2024gqu","15:05:58.659","+40:17:23.94","SN Ia","0.076","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF24aajhxqs","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","LT - SPRAT","1","1","","19.6192","g-ZTF","2024-04-12 09:08:04.004","Fritz","","2024TNSTR1086....1S","2024TNSCR1374....1W",""
